Name,Tx,Ty,Tz,R11,R12,R13,R21,R22,R23,R31,R32,R33
img__0,-0.019137,0.006621,0.336347,0.172013,0.320269,0.931579,0.880976,-0.473162,0,0.440788,0.820698,-0.363539
img__1,-0.013263,0.015303,0.336347,0.589455,0.04078,0.806771,0.676941,-0.569905,-0.465789,0.440788,0.820698,-0.363539
img__2,-0.003834,0.019884,0.336347,0.848954,-0.249636,0.465789,0.29152,-0.513942,-0.806771,0.440788,0.820698,-0.363539
img__3,0.006621,0.019137,0.336347,0.880976,-0.473162,0,-0.172013,-0.320269,-0.931579,0.440788,0.820698,-0.363539
img__4,0.015303,0.013263,0.336347,0.676941,-0.569905,-0.465789,-0.589455,-0.04078,-0.806771,0.440788,0.820698,-0.363539
img__5,0.019884,0.003834,0.336347,0.29152,-0.513942,-0.806771,-0.848954,0.249636,-0.465789,0.440788,0.820698,-0.363539
img__6,-0.017264,-0.040179,0.334106,0.223551,0.296537,0.928488,0.798513,-0.601978,0,0.55893,0.74141,-0.371361
img__7,-0.03504,-0.026164,0.334106,0.592857,-0.044181,0.804095,0.579756,-0.669597,-0.464244,0.55893,0.74141,-0.371361
img__8,-0.043428,-0.005139,0.334106,0.803308,-0.37306,0.464244,0.205655,-0.557797,-0.804095,0.55893,0.74141,-0.371361
img__9,-0.040179,0.017264,0.334106,0.798513,-0.601978,0,-0.223551,-0.296537,-0.928488,0.55893,0.74141,-0.371361
img__10,-0.026164,0.03504,0.334106,0.579756,-0.669597,-0.464244,-0.592857,0.044181,-0.804095,0.55893,0.74141,-0.371361
img__11,-0.005139,0.043428,0.334106,0.205655,-0.557797,-0.804095,-0.803308,0.37306,-0.464244,0.55893,0.74141,-0.371361
img__12,-0.004931,0.014011,0.336628,-0.900537,0.375109,-0.21983,0,0.505614,0.86276,0.434779,0.776947,-0.455325
img__13,0.002735,0.014599,0.336628,-0.779888,0.577661,0.241001,0.450269,0.25032,0.857087,0.434779,0.776947,-0.455325
img__14,0.009668,0.011275,0.336628,-0.450269,0.62543,0.637257,0.779888,-0.072047,0.621758,0.434779,0.776947,-0.455325
img__15,0.014011,0.004931,0.336628,0,0.505614,0.86276,0.900537,-0.375109,0.21983,0.434779,0.776947,-0.455325
img__16,0.014599,-0.002735,0.336628,0.450269,0.25032,0.857087,0.779888,-0.577661,-0.241001,0.434779,0.776947,-0.455325
img__17,0.011275,-0.009668,0.336628,0.779888,-0.072047,0.621758,0.450269,-0.62543,-0.637257,0.434779,0.776947,-0.455325
img__18,-0.003872,-0.016883,0.33651,0.218862,0.341752,0.91395,0.842113,-0.539301,0,0.492894,0.76965,-0.405826
img__19,-0.011795,-0.012685,0.33651,0.610597,0.026316,0.791504,0.61986,-0.637924,-0.456975,0.492894,0.76965,-0.405826
img__20,-0.016557,-0.005089,0.33651,0.838723,-0.296172,0.456975,0.231516,-0.565616,-0.791504,0.492894,0.76965,-0.405826
img__21,-0.016883,0.003872,0.33651,0.842113,-0.539301,0,-0.218862,-0.341752,-0.91395,0.492894,0.76965,-0.405826
img__22,-0.012685,0.011795,0.33651,0.61986,-0.637924,-0.456975,-0.610597,-0.026316,-0.791504,0.492894,0.76965,-0.405826
img__23,-0.005089,0.016557,0.33651,0.231516,-0.565616,-0.791504,-0.838723,0.296172,-0.456975,0.492894,0.76965,-0.405826
img__24,-0.009244,-0.018949,0.336295,0.213254,0.328096,0.920258,0.838453,-0.544974,0,0.501516,0.771593,-0.391312
img__25,-0.01748,-0.011788,0.336295,0.60391,0.011653,0.796967,0.619495,-0.636009,-0.460129,0.501516,0.771593,-0.391312
img__26,-0.021032,-0.001469,0.336295,0.832749,-0.307913,0.460129,0.234543,-0.556627,-0.796967,0.501516,0.771593,-0.391312
img__27,-0.018949,0.009244,0.336295,0.838453,-0.544974,0,-0.213254,-0.328096,-0.920258,0.501516,0.771593,-0.391312
img__28,-0.011788,0.01748,0.336295,0.619495,-0.636009,-0.460129,-0.60391,-0.011653,-0.796967,0.501516,0.771593,-0.391312
img__29,-0.001469,0.021032,0.336295,0.234543,-0.556627,-0.796967,-0.832749,0.307913,-0.460129,0.501516,0.771593,-0.391312
img__30,-0.007901,0.013237,0.336603,0.179186,0.351638,0.918827,0.890989,-0.454025,0,0.41717,0.818665,-0.39466
img__31,-0.000224,0.015414,0.336603,0.600674,0.077515,0.795728,0.682026,-0.569016,-0.459414,0.41717,0.818665,-0.39466
img__32,0.007513,0.013461,0.336603,0.861212,-0.217378,0.459414,0.290315,-0.53154,-0.795728,0.41717,0.818665,-0.39466
img__33,0.013237,0.007901,0.336603,0.890989,-0.454025,0,-0.179186,-0.351638,-0.918827,0.41717,0.818665,-0.39466
img__34,0.015414,0.000224,0.336603,0.682026,-0.569016,-0.459414,-0.600674,-0.077515,-0.795728,0.41717,0.818665,-0.39466
img__35,0.013461,-0.007513,0.336603,0.290315,-0.53154,-0.795728,-0.861212,0.217378,-0.459414,0.41717,0.818665,-0.39466
img__36,-0.023791,-0.003339,0.336098,-0.923626,0.341299,-0.174443,0,0.455114,0.890433,0.383295,0.822427,-0.420355
img__37,-0.022273,0.009004,0.336098,-0.799883,0.523131,0.294144,0.461813,0.223491,0.858359,0.383295,0.822427,-0.420355
img__38,-0.014787,0.018934,0.336098,-0.461813,0.56479,0.683916,0.799883,-0.068016,0.596289,0.383295,0.822427,-0.420355
img__39,-0.003339,0.023791,0.336098,0,0.455114,0.890433,0.923626,-0.341299,0.174443,0.383295,0.822427,-0.420355
img__40,0.009004,0.022273,0.336098,0.461813,0.223491,0.858359,0.799883,-0.523131,-0.294144,0.383295,0.822427,-0.420355
img__41,0.018934,0.014787,0.336098,0.799883,-0.068016,0.596289,0.461813,-0.56479,-0.683916,0.383295,0.822427,-0.420355
img__42,-0.025912,-0.019718,0.335379,0.188871,0.288988,0.938517,0.83708,-0.547081,0,0.513444,0.785614,-0.345234
img__43,-0.0323,-0.00412,0.335379,0.582107,-0.023269,0.812779,0.630497,-0.61828,-0.469258,0.513444,0.785614,-0.345234
img__44,-0.030032,0.012582,0.335379,0.819368,-0.329292,0.469258,0.254973,-0.523811,-0.812779,0.513444,0.785614,-0.345234
img__45,-0.019718,0.025912,0.335379,0.83708,-0.547081,0,-0.188871,-0.288988,-0.938517,0.513444,0.785614,-0.345234
img__46,-0.00412,0.0323,0.335379,0.630497,-0.61828,-0.469258,-0.582107,0.023269,-0.812779,0.513444,0.785614,-0.345234
img__47,0.012582,0.030032,0.335379,0.254973,-0.523811,-0.812779,-0.819368,0.329292,-0.469258,0.513444,0.785614,-0.345234
img__48,-0.001995,0.006548,0.336886,0.194309,0.361573,0.911871,0.880862,-0.473373,0,0.431655,0.803233,-0.410477
img__49,0.001546,0.006668,0.336886,0.608707,0.076445,0.789704,0.665695,-0.59074,-0.455936,0.431655,0.803233,-0.410477
img__50,0.004673,0.005002,0.336886,0.860003,-0.229166,0.455936,0.272155,-0.549818,-0.789704,0.431655,0.803233,-0.410477
img__51,0.006548,0.001995,0.336886,0.880862,-0.473373,0,-0.194309,-0.361573,-0.911871,0.431655,0.803233,-0.410477
img__52,0.006668,-0.001546,0.336886,0.665695,-0.59074,-0.455936,-0.608707,-0.076445,-0.789704,0.431655,0.803233,-0.410477
img__53,0.005002,-0.004673,0.336886,0.272155,-0.549818,-0.789704,-0.860003,0.229166,-0.455936,0.431655,0.803233,-0.410477
img__54,-0.015036,0.022164,0.33589,0.160706,0.339511,0.926772,0.903856,-0.427837,0,0.396507,0.837668,-0.375625
img__55,-0.00194,0.026712,0.33589,0.591103,0.080106,0.802608,0.702409,-0.540273,-0.463386,0.396507,0.837668,-0.375625
img__56,0.011676,0.024103,0.33589,0.863115,-0.200762,0.463386,0.312753,-0.507943,-0.802608,0.396507,0.837668,-0.375625
img__57,0.022164,0.015036,0.33589,0.903856,-0.427837,0,-0.160706,-0.339511,-0.926772,0.396507,0.837668,-0.375625
img__58,0.026712,0.00194,0.33589,0.702409,-0.540273,-0.463386,-0.591103,-0.080106,-0.802608,0.396507,0.837668,-0.375625
img__59,0.024103,-0.011676,0.33589,0.312753,-0.507943,-0.802608,-0.863115,0.200762,-0.463386,0.396507,0.837668,-0.375625
img__60,0.005053,-0.02514,0.335978,0.241916,0.35619,0.902555,0.827243,-0.561844,0,0.507095,0.746632,-0.430575
img__61,-0.008194,-0.024298,0.335978,0.623127,0.027547,0.781635,0.595455,-0.664667,-0.451277,0.507095,0.746632,-0.430575
img__62,-0.019245,-0.016946,0.335978,0.837371,-0.308477,0.451277,0.204116,-0.589392,-0.781635,0.507095,0.746632,-0.430575
img__63,-0.02514,-0.005053,0.335978,0.827243,-0.561844,0,-0.241916,-0.35619,-0.902555,0.507095,0.746632,-0.430575
img__64,-0.024298,0.008194,0.335978,0.595455,-0.664667,-0.451277,-0.623127,-0.027547,-0.781635,0.507095,0.746632,-0.430575
img__65,-0.016946,0.019245,0.335978,0.204116,-0.589392,-0.781635,-0.837371,0.308477,-0.451277,0.507095,0.746632,-0.430575
img__66,-0.003842,0.001151,0.336932,0.198163,0.353663,0.914141,0.872389,-0.488813,0,0.446844,0.797486,-0.405396
img__67,-0.002752,0.002918,0.336932,0.607808,0.061874,0.79167,0.656429,-0.600156,-0.457071,0.446844,0.797486,-0.405396
img__68,-0.000924,0.003903,0.336932,0.854592,-0.246493,0.457071,0.26458,-0.550687,-0.79167,0.446844,0.797486,-0.405396
img__69,0.001151,0.003842,0.336932,0.872389,-0.488813,0,-0.198163,-0.353663,-0.914141,0.446844,0.797486,-0.405396
img__70,0.002918,0.002752,0.336932,0.656429,-0.600156,-0.457071,-0.607808,-0.061874,-0.79167,0.446844,0.797486,-0.405396
img__71,0.003903,0.000924,0.336932,0.26458,-0.550687,-0.79167,-0.854592,0.246493,-0.457071,0.446844,0.797486,-0.405396
img__72,-0.004825,-0.007232,0.336843,0.206442,0.345897,0.91528,0.858691,-0.512494,0,0.469075,0.785943,-0.402818
img__73,-0.007795,-0.00385,0.336843,0.608129,0.043308,0.792656,0.640427,-0.616781,-0.45764,0.469075,0.785943,-0.402818
img__74,-0.008676,0.000563,0.336843,0.846869,-0.270884,0.45764,0.250562,-0.555802,-0.792656,0.469075,0.785943,-0.402818
img__75,-0.007232,0.004825,0.336843,0.858691,-0.512494,0,-0.206442,-0.345897,-0.91528,0.469075,0.785943,-0.402818
img__76,-0.00385,0.007795,0.336843,0.640427,-0.616781,-0.45764,-0.608129,-0.043308,-0.792656,0.469075,0.785943,-0.402818
img__77,0.000563,0.008676,0.336843,0.250562,-0.555802,-0.792656,-0.846869,0.270884,-0.45764,0.469075,0.785943,-0.402818
img__78,-0.016388,-0.028256,0.335369,0.212369,0.30592,0.928069,0.821465,-0.570258,0,0.529239,0.762377,-0.372408
img__79,-0.02832,-0.016276,0.335369,0.59465,-0.020194,0.803731,0.605225,-0.646819,-0.464035,0.529239,0.762377,-0.372408
img__80,-0.032664,0.000065,0.335369,0.817594,-0.340898,0.464035,0.226816,-0.550064,-0.803731,0.529239,0.762377,-0.372408
img__81,-0.028256,0.016388,0.335369,0.821465,-0.570258,0,-0.212369,-0.30592,-0.928069,0.529239,0.762377,-0.372408
